time, x-setpoint, y-setpoint, z-setpoint, x, y, z
0.00,0.00,0.00,0.00,41.44,1679.34,0.00
10.00,0.00,0.00,0.00,46.02,1695.36,0.00
20.00,0.00,0.00,0.00,30.00,1687.73,0.00
30.00,0.00,0.00,0.00,15.50,1683.15,0.00
40.00,0.00,0.00,0.00,29.23,1694.59,0.00
50.00,0.00,0.00,0.00,41.44,1681.62,0.00
60.00,0.00,0.00,0.00,27.71,1706.04,0.00
70.00,0.00,0.00,0.00,37.63,1702.99,0.00
80.00,0.00,0.00,0.00,37.63,1683.91,0.00
90.00,0.00,0.00,0.00,44.49,1684.68,0.00
100.00,0.00,0.00,0.00,45.26,1672.47,0.00
111.00,0.00,0.00,0.00,9.40,1680.10,0.00
120.00,0.00,0.00,0.00,38.39,1686.97,0.00
130.00,0.00,0.00,0.00,50.60,1690.02,0.00
140.00,0.00,0.00,0.00,29.23,1704.51,0.00
150.00,0.00,0.00,0.00,70.43,1712.91,0.00
160.00,0.00,0.00,0.00,21.61,1692.31,0.00
170.00,0.00,0.00,0.00,33.81,1690.78,0.00
180.00,0.00,0.00,0.00,42.20,1678.57,0.00
190.00,0.00,0.00,0.00,31.52,1685.44,0.00
200.00,0.00,0.00,0.00,42.20,1690.02,0.00
210.00,0.00,0.00,0.00,35.34,1697.65,0.00
220.00,0.00,0.00,0.00,21.61,1699.94,0.00
230.00,0.00,0.00,0.00,38.39,1689.25,0.00
240.00,0.00,0.00,0.00,15.50,1693.83,0.00
250.00,0.00,0.00,0.00,10.92,1663.31,0.00
260.00,0.00,0.00,0.00,39.15,1693.83,0.00
270.00,0.00,0.00,0.00,47.55,1704.51,0.00
280.00,0.00,0.00,0.00,19.32,1696.88,0.00
290.00,0.00,0.00,0.00,40.68,1688.49,0.00
300.00,0.00,0.00,0.00,36.86,1682.39,0.00
310.00,0.00,0.00,0.00,23.89,1707.56,0.00
320.00,0.00,0.00,0.00,36.10,1690.78,0.00
330.00,0.00,0.00,0.00,26.95,1674.00,0.00
340.00,0.00,0.00,0.00,20.84,1688.49,0.00
350.00,0.00,0.00,0.00,49.07,1702.22,0.00
361.00,0.00,0.00,0.00,26.18,1693.83,0.00
370.00,0.00,0.00,0.00,24.66,1677.05,0.00
380.00,0.00,0.00,0.00,26.18,1695.36,0.00
390.00,0.00,0.00,0.00,51.36,1688.49,0.00
400.00,0.00,0.00,0.00,61.28,1706.80,0.00
410.00,0.00,0.00,0.00,35.34,1681.62,0.00
420.00,0.00,0.00,0.00,34.58,1704.51,0.00
430.00,0.00,0.00,0.00,26.18,1687.73,0.00
440.00,0.00,0.00,0.00,39.92,1679.34,0.00
450.00,0.00,0.00,0.00,45.26,1698.41,0.00
460.00,0.00,0.00,0.00,54.41,1694.59,0.00
470.00,0.00,0.00,0.00,33.81,1695.36,0.00
480.00,0.00,0.00,0.00,17.03,1677.81,0.00
490.00,0.00,0.00,0.00,24.66,1677.81,0.00
500.00,0.00,0.00,0.00,21.61,1679.34,0.00
510.00,0.00,0.00,0.00,50.60,1695.36,0.00
520.00,0.00,0.00,0.00,35.34,1700.70,0.00
530.00,0.00,0.00,0.00,24.66,1690.78,0.00
540.00,0.00,0.00,0.00,40.68,1691.54,0.00
550.00,0.00,0.00,0.00,58.99,1692.31,0.00
560.00,0.00,0.00,0.00,33.05,1690.78,0.00
570.00,0.00,0.00,0.00,42.97,1703.75,0.00
580.00,0.00,0.00,0.00,27.71,1686.20,0.00
590.00,0.00,0.00,0.00,33.81,1693.83,0.00
600.00,0.00,0.00,0.00,62.04,1707.56,0.00
610.00,0.00,0.00,0.00,42.20,1706.04,0.00
620.00,0.00,0.00,0.00,50.60,1695.36,0.00
630.00,0.00,0.00,0.00,23.13,1683.15,0.00
640.00,0.00,0.00,0.00,39.92,1692.31,0.00
650.00,0.00,0.00,0.00,67.38,1727.40,0.00
660.00,0.00,0.00,0.00,42.97,1683.91,0.00
670.00,0.00,0.00,0.00,35.34,1704.51,0.00
680.00,0.00,0.00,0.00,33.81,1686.20,0.00
690.00,0.00,0.00,0.00,35.34,1703.75,0.00
700.00,0.00,0.00,0.00,50.60,1678.57,0.00
710.00,0.00,0.00,0.00,44.49,1695.36,0.00
720.00,0.00,0.00,0.00,13.21,1696.88,0.00
730.00,0.00,0.00,0.00,39.92,1692.31,0.00
740.00,0.00,0.00,0.00,18.55,1671.71,0.00
750.00,0.00,0.00,0.00,41.44,1689.25,0.00
760.00,0.00,0.00,0.00,35.34,1701.46,0.00
770.00,0.00,0.00,0.00,39.92,1704.51,0.00
780.00,0.00,0.00,0.00,41.44,1673.23,0.00
790.00,0.00,0.00,0.00,36.86,1686.97,0.00
800.00,0.00,0.00,0.00,39.92,1698.41,0.00
810.00,0.00,0.00,0.00,32.29,1701.46,0.00
820.00,0.00,0.00,0.00,25.42,1686.97,0.00
830.00,0.00,0.00,0.00,42.20,1683.15,0.00
840.00,0.00,0.00,0.00,26.95,1694.59,0.00
850.00,0.00,0.00,0.00,66.62,1723.59,0.00
860.00,0.00,0.00,0.00,37.63,1683.91,0.00
870.00,0.00,0.00,0.00,26.95,1667.89,0.00
880.00,0.00,0.00,0.00,15.50,1691.54,0.00
890.00,0.00,0.00,0.00,26.18,1704.51,0.00
900.00,0.00,0.00,0.00,52.12,1725.11,0.00
910.00,0.00,0.00,0.00,39.15,1693.83,0.00
920.00,0.00,0.00,0.00,21.61,1702.99,0.00
930.00,0.00,0.00,0.00,23.89,1669.42,0.00
940.00,0.00,0.00,0.00,29.23,1678.57,0.00
950.00,0.00,0.00,0.00,23.13,1687.73,0.00
960.00,0.00,0.00,0.00,48.31,1690.78,0.00
970.00,0.00,0.00,0.00,41.44,1690.02,0.00
980.00,0.00,0.00,0.00,29.23,1686.20,0.00
1000.00,0.00,0.00,0.00,36.10,1696.88,0.00
1010.00,0.00,0.00,0.00,45.26,1686.97,0.00
1020.00,0.00,0.00,0.00,45.26,1667.89,0.00
1030.00,0.00,0.00,0.00,23.13,1695.36,0.00
1040.00,0.00,0.00,0.00,34.58,1681.62,0.00
1050.00,0.00,0.00,0.00,38.39,1690.78,0.00
1060.00,0.00,0.00,0.00,26.18,1692.31,0.00
1071.00,0.00,0.00,0.00,31.52,1714.43,0.00
1080.00,0.00,0.00,0.00,27.71,1683.15,0.00
1090.00,0.00,0.00,0.00,30.76,1685.44,0.00
1100.00,0.00,0.00,0.00,47.55,1714.43,0.00
1110.00,0.00,0.00,0.00,32.29,1691.54,0.00
1120.00,0.00,0.00,0.00,44.49,1681.62,0.00
1130.00,0.00,0.00,0.00,20.08,1680.86,0.00
1140.00,0.00,0.00,0.00,18.55,1681.62,0.00
1150.00,0.00,0.00,0.00,43.73,1716.72,0.00
