time, x-setpoint, y-setpoint, z-setpoint, x, y, z
0.00,0.00,0.00,0.00,16.26,1668.65,0.00
10.00,0.00,0.00,0.00,33.05,1686.20,0.00
20.00,0.00,0.00,0.00,30.76,1680.86,0.00
30.00,0.00,0.00,0.00,21.61,1677.05,0.00
40.00,0.00,0.00,0.00,1.01,1674.00,0.00
50.00,0.00,0.00,0.00,11.69,1677.81,0.00
60.00,0.00,0.00,0.00,24.66,1663.31,0.00
70.00,0.00,0.00,0.00,17.03,1683.15,0.00
80.00,0.00,0.00,0.00,20.84,1677.05,0.00
92.00,0.00,0.00,0.00,28.47,1660.26,0.00
100.00,0.00,0.00,0.00,32.29,1667.89,0.00
110.00,0.00,0.00,0.00,7.87,1655.68,0.00
120.00,0.00,0.00,0.00,21.61,1682.39,0.00
130.00,0.00,0.00,0.00,35.34,1680.86,0.00
140.00,0.00,0.00,0.00,47.55,1683.91,0.00
150.00,0.00,0.00,0.00,30.76,1654.16,0.00
160.00,0.00,0.00,0.00,-5.86,1650.34,0.00
170.00,0.00,0.00,0.00,51.36,1671.71,0.00
180.00,0.00,0.00,0.00,8.64,1654.92,0.00
190.00,0.00,0.00,0.00,22.37,1689.25,0.00
200.00,0.00,0.00,0.00,36.86,1678.57,0.00
210.00,0.00,0.00,0.00,-10.44,1637.37,0.00
220.00,0.00,0.00,0.00,19.32,1680.10,0.00
230.00,0.00,0.00,0.00,17.79,1664.84,0.00
240.00,0.00,0.00,0.00,17.03,1666.37,0.00
250.00,0.00,0.00,0.00,31.52,1667.13,0.00
260.00,0.00,0.00,0.00,10.16,1651.87,0.00
270.00,0.00,0.00,0.00,6.35,1671.71,0.00
280.00,0.00,0.00,0.00,20.08,1678.57,0.00
290.00,0.00,0.00,0.00,23.89,1681.62,0.00
300.00,0.00,0.00,0.00,26.18,1664.84,0.00
310.00,0.00,0.00,0.00,17.79,1681.62,0.00
320.00,0.00,0.00,0.00,43.73,1689.25,0.00
330.00,0.00,0.00,0.00,35.34,1661.03,0.00
340.00,0.00,0.00,0.00,-0.52,1658.74,0.00
350.00,0.00,0.00,0.00,40.68,1716.72,0.00
360.00,0.00,0.00,0.00,-7.39,1664.84,0.00
370.00,0.00,0.00,0.00,26.18,1675.52,0.00
380.00,0.00,0.00,0.00,16.26,1651.11,0.00
390.00,0.00,0.00,0.00,23.13,1667.89,0.00
400.00,0.00,0.00,0.00,17.03,1666.37,0.00
410.00,0.00,0.00,0.00,-12.73,1641.95,0.00
420.00,0.00,0.00,0.00,26.95,1680.10,0.00
430.00,0.00,0.00,0.00,26.18,1678.57,0.00
440.00,0.00,0.00,0.00,39.92,1667.89,0.00
450.00,0.00,0.00,0.00,20.08,1682.39,0.00
470.00,0.00,0.00,0.00,46.02,1660.26,0.00
480.00,0.00,0.00,0.00,23.89,1670.94,0.00
490.00,0.00,0.00,0.00,15.50,1657.21,0.00
500.00,0.00,0.00,0.00,43.73,1683.91,0.00
510.00,0.00,0.00,0.00,29.23,1667.89,0.00
520.00,0.00,0.00,0.00,11.69,1686.20,0.00
530.00,0.00,0.00,0.00,21.61,1679.34,0.00
540.00,0.00,0.00,0.00,-7.39,1674.00,0.00
550.00,0.00,0.00,0.00,42.20,1677.81,0.00
560.00,0.00,0.00,0.00,36.10,1664.08,0.00
570.00,0.00,0.00,0.00,18.55,1677.81,0.00
580.00,0.00,0.00,0.00,15.50,1680.10,0.00
590.00,0.00,0.00,0.00,32.29,1663.31,0.00
600.00,0.00,0.00,0.00,33.81,1699.94,0.00
610.00,0.00,0.00,0.00,0.24,1637.37,0.00
620.00,0.00,0.00,0.00,11.69,1683.15,0.00
630.00,0.00,0.00,0.00,41.44,1676.28,0.00
641.00,0.00,0.00,0.00,23.13,1693.83,0.00
650.00,0.00,0.00,0.00,23.13,1674.00,0.00
660.00,0.00,0.00,0.00,-21.88,1645.00,0.00
670.00,0.00,0.00,0.00,33.05,1679.34,0.00
680.00,0.00,0.00,0.00,22.37,1677.05,0.00
690.00,0.00,0.00,0.00,18.55,1658.74,0.00
700.00,0.00,0.00,0.00,26.95,1683.15,0.00
710.00,0.00,0.00,0.00,-2.81,1639.66,0.00
720.00,0.00,0.00,0.00,39.92,1676.28,0.00
730.00,0.00,0.00,0.00,13.98,1655.68,0.00
740.00,0.00,0.00,0.00,19.32,1675.52,0.00
750.00,0.00,0.00,0.00,34.58,1649.58,0.00
760.00,0.00,0.00,0.00,19.32,1657.97,0.00
770.00,0.00,0.00,0.00,13.98,1690.02,0.00
780.00,0.00,0.00,0.00,24.66,1667.13,0.00
790.00,0.00,0.00,0.00,14.74,1671.71,0.00
800.00,0.00,0.00,0.00,21.61,1666.37,0.00
810.00,0.00,0.00,0.00,5.58,1661.79,0.00
820.00,0.00,0.00,0.00,22.37,1686.20,0.00
830.00,0.00,0.00,0.00,21.61,1678.57,0.00
840.00,0.00,0.00,0.00,11.69,1649.58,0.00
850.00,0.00,0.00,0.00,35.34,1710.62,0.00
860.00,0.00,0.00,0.00,9.40,1638.90,0.00
870.00,0.00,0.00,0.00,33.81,1683.15,0.00
880.00,0.00,0.00,0.00,30.00,1662.55,0.00
891.00,0.00,0.00,0.00,26.95,1659.50,0.00
900.00,0.00,0.00,0.00,10.92,1677.05,0.00
910.00,0.00,0.00,0.00,4.06,1640.43,0.00
920.00,0.00,0.00,0.00,36.86,1686.97,0.00
930.00,0.00,0.00,0.00,5.58,1652.63,0.00
940.00,0.00,0.00,0.00,13.98,1651.11,0.00
950.00,0.00,0.00,0.00,11.69,1680.10,0.00
960.00,0.00,0.00,0.00,15.50,1648.06,0.00
970.00,0.00,0.00,0.00,14.74,1683.15,0.00
980.00,0.00,0.00,0.00,41.44,1664.84,0.00
990.00,0.00,0.00,0.00,23.13,1646.53,0.00
1000.00,0.00,0.00,0.00,-0.52,1681.62,0.00
1010.00,0.00,0.00,0.00,15.50,1681.62,0.00
1020.00,0.00,0.00,0.00,26.18,1682.39,0.00
1030.00,0.00,0.00,0.00,20.84,1671.71,0.00
1040.00,0.00,0.00,0.00,15.50,1651.87,0.00
1050.00,0.00,0.00,0.00,38.39,1657.21,0.00
1060.00,0.00,0.00,0.00,20.08,1664.08,0.00
1070.00,0.00,0.00,0.00,32.29,1674.00,0.00
1080.00,0.00,0.00,0.00,13.98,1680.86,0.00
1092.00,0.00,0.00,0.00,27.71,1659.50,0.00
1100.00,0.00,0.00,0.00,37.63,1668.65,0.00
1110.00,0.00,0.00,0.00,-5.10,1661.79,0.00
1120.00,0.00,0.00,0.00,31.52,1687.73,0.00
1130.00,0.00,0.00,0.00,29.23,1669.42,0.00
1141.00,0.00,0.00,0.00,33.05,1668.65,0.00
1150.00,0.00,0.00,0.00,26.18,1672.47,0.00
1160.00,0.00,0.00,0.00,-11.20,1644.24,0.00
1170.00,0.00,0.00,0.00,19.32,1685.44,0.00
1180.00,0.00,0.00,0.00,17.03,1670.94,0.00
1190.00,0.00,0.00,0.00,27.71,1664.84,0.00
1200.00,0.00,0.00,0.00,32.29,1668.65,0.00
1210.00,0.00,0.00,0.00,8.64,1645.77,0.00
1220.00,0.00,0.00,0.00,17.03,1676.28,0.00
1230.00,0.00,0.00,0.00,11.69,1671.71,0.00
1250.00,0.00,0.00,0.00,25.42,1654.16,0.00
1260.00,0.00,0.00,0.00,13.98,1670.94,0.00
1270.00,0.00,0.00,0.00,10.16,1671.71,0.00
1280.00,0.00,0.00,0.00,20.08,1681.62,0.00
1290.00,0.00,0.00,0.00,13.21,1671.71,0.00
1300.00,0.00,0.00,0.00,15.50,1670.94,0.00
1310.00,0.00,0.00,0.00,6.35,1672.47,0.00
1320.00,0.00,0.00,0.00,28.47,1681.62,0.00
1330.00,0.00,0.00,0.00,27.71,1664.84,0.00
1340.00,0.00,0.00,0.00,2.53,1686.20,0.00
1350.00,0.00,0.00,0.00,9.40,1692.31,0.00
1360.00,0.00,0.00,0.00,3.29,1649.58,0.00
1370.00,0.00,0.00,0.00,20.08,1698.41,0.00
1380.00,0.00,0.00,0.00,1.77,1662.55,0.00
1390.00,0.00,0.00,0.00,24.66,1677.05,0.00
1400.00,0.00,0.00,0.00,8.64,1672.47,0.00
1440.00,0.00,0.00,0.00,30.76,1667.89,0.00
1450.00,0.00,0.00,0.00,24.66,1657.97,0.00
1460.00,0.00,0.00,0.00,5.58,1651.87,0.00
1470.00,0.00,0.00,0.00,26.18,1661.03,0.00
1480.00,0.00,0.00,0.00,18.55,1683.91,0.00
1490.00,0.00,0.00,0.00,30.76,1672.47,0.00
1500.00,0.00,0.00,0.00,12.45,1661.79,0.00
1510.00,0.00,0.00,0.00,38.39,1672.47,0.00
1520.00,0.00,0.00,0.00,29.23,1686.97,0.00
1530.00,0.00,0.00,0.00,20.84,1672.47,0.00
1540.00,0.00,0.00,0.00,3.29,1663.31,0.00
1550.00,0.00,0.00,0.00,32.29,1692.31,0.00
1560.00,0.00,0.00,0.00,32.29,1681.62,0.00
1570.00,0.00,0.00,0.00,36.86,1681.62,0.00
1580.00,0.00,0.00,0.00,5.58,1649.58,0.00
1590.00,0.00,0.00,0.00,20.84,1661.03,0.00
1600.00,0.00,0.00,0.00,32.29,1694.59,0.00
1610.00,0.00,0.00,0.00,-14.25,1657.97,0.00
1620.00,0.00,0.00,0.00,15.50,1670.94,0.00
1630.00,0.00,0.00,0.00,38.39,1662.55,0.00
1640.00,0.00,0.00,0.00,7.87,1678.57,0.00
1650.00,0.00,0.00,0.00,32.29,1670.18,0.00
1660.00,0.00,0.00,0.00,8.64,1640.43,0.00
1670.00,0.00,0.00,0.00,30.00,1699.17,0.00
1680.00,0.00,0.00,0.00,19.32,1677.05,0.00
1690.00,0.00,0.00,0.00,9.40,1656.45,0.00
1700.00,0.00,0.00,0.00,7.11,1675.52,0.00
1710.00,0.00,0.00,0.00,30.00,1666.37,0.00
1720.00,0.00,0.00,0.00,27.71,1670.94,0.00
1730.00,0.00,0.00,0.00,33.05,1649.58,0.00
1740.00,0.00,0.00,0.00,15.50,1677.81,0.00
